,"Item","Description","Type","Cost","Price","Sales Tax Code","Quantity On Hand","Quantity On Sales Order","Reorder Pt (Min)","Quantity On Purchase Order","Preferred Vendor"
,"Bank & Credit Card Service","Bank & Credit Card Service","Service",0.00,0.00,"Non","","","","",
,"Discount","Provide varied discount types to customers","Service",0.00,0.00,"Tax","","","","",
,"Discount:Credit","On-hand credit which is available to apply to this order/invoice.","Service",0.00,0.00,"Tax","","","","",
,"Discount:Education Discount","Discount program for Education type customers.","Service",0.00,0.00,"Tax","","","","",
,"Discount:Marketing Program","Discount applied for marketing program.","Service",0.00,0.00,"Tax","","","","",
,"Discount:Project Discount","Discount for selected project.","Service",0.00,0.00,"Tax","","","","",
,"Discount:Quantity Discount","Discount for single order with specified quantity.","Service",0.00,0.00,"Tax","","","","",
,"Discount:Replacement Discount","Replacement unit discount.","Service",0.00,0.00,"Tax","","","","",
,"Discount:Sample Unit Discount","Sample unit discount for evaluation purpose. Limit to one unit only.","Service",0.00,0.00,"Tax","","","","",
,"Discount:Supplier Discount- COGS","Supplier discount to Neousys for goods procurement","Service",0.00,0.00,"Tax","","","","",
,"Forwarding Charge","Forwarding charge, Import Tax is excluded","Service",0.00,0.00,"Non","","","","",
,"Forwarding Charge- COGS","Vendor forwarding charge (COGS Shipping), Import Tax is excluded","Service",739.00,0.00,"Non","","","","",
,"Marketing Services","Advertising, Design, Research and providing marketing service activities.","Service",0.00,0.00,"Non","","","","",
,"NSF-Deposited","NSF-Deposited payment returned","Service",0.00,0.00,"Non","","","","",
,"others",,"Service",0.00,0.00,"Non","","","","",
,"Restocking Charge- COGS","Vendor charge for sales return re-stocking fee","Service",0.00,0.00,"Non","","","","",
,"Restocking Fee","Restocking Service Charge","Service",0.00,0.00,"Non","","","","",
,"RMA /Damage Return","RMA or Damage product return for replacement or repair.","Service",0.00,0.00,"Tax","","","","",
,"Sale Tax",,"Service",59.92,0.00,"Non","","","","",
,"Sales",,"Service",0.00,0.00,"Non","","","","",
,"Services","Provide varied services to customers","Service",0.00,0.00,"Tax","","","","",
,"Services:Engineer Service- COS","Engineer service for NRE, installation, integration, customizations, certification, etc. provide...","Service",0.00,0.00,"Tax","","","","",
,"Services:Engineer Services","Engineer services for system installation, integration, NRE, and customizations, certifications,...","Service",0.00,0.00,"Non","","","","",
,"Services:Extended Warranty","Extended warranty services.","Service",0.00,0.00,"Non","","","","",
,"Services:Extended Warranty- COS","Extended Warranty Services- COS..Extended warranty services. Cost to manufacturer. Neousys platf...","Service",0.00,0.00,"Tax","","","","",
,"Services:Extended Warranty Deposit","Extended Warranty Deposit","Service",0.00,0.00,"Non","","","","",
,"Services:RMA Services","RMA services including inspection, repair or replace failure component(s), testing.","Service",0.00,30.00,"Non","","","","",
,"Services:RMA Services-COS",,"Service",0.00,0.00,"Tax","","","","",
,"Shipping Charge","Local shipping charge via Ground Shipment Services","Service",0.00,0.00,"Non","","","","",
,"Shipping Charge:Packing Service","Packing service for shipment, including necessary materials, labor, etc.","Service",0.00,0.00,"Non","","","","",
,"Tariff Charge","Tariff charge to customer","Service",0.00,0.00,"Tax","","","","",
,"Tariff Charge- COGS","Tariff paid to government (COGS) when import to the USA","Service",0.00,0.00,"Non","","","","",
